uid,entry index,hour,rate,sleep interference,cs65_gpa
u02,1,8,2,1,4.00
u02,2,7,3,1,4.00
u02,3,8,2,1,4.00
u02,4,7,2,1,4.00
u02,5,8,2,1,4.00
u02,6,7,2,1,4.00
u02,7,7,2,1,4.00
u02,8,8,3,2,4.00
u02,9,8,2,2,4.00
u02,10,8,2,2,4.00
u02,11,8,2,1,4.00
u02,12,7,2,1,4.00
u02,13,9,2,1,4.00
u02,14,7,2,1,4.00
u02,15,7,2,1,4.00
u02,16,8,2,2,4.00
u02,17,8,2,2,4.00
u02,18,9,2,1,4.00
u02,19,8,2,1,4.00
u02,20,8,2,2,4.00
u02,21,7,2,1,4.00
u02,22,6,2,2,4.00
u02,23,8,2,2,4.00
u02,24,9,1,2,4.00
u02,25,12,2,1,4.00
u02,26,9,1,2,4.00
u04,1,6,2,1,4.00
u04,2,6,2,1,4.00
u04,3,6,2,1,4.00
u04,4,6,2,1,4.00
u04,5,7,2,1,4.00
u04,6,6,2,1,4.00
u04,7,6,2,1,4.00
u04,8,6,2,1,4.00
u04,9,7,3,1,4.00
u04,10,7,3,1,4.00
u04,11,6,2,1,4.00
u04,12,8,2,1,4.00
u04,13,8,2,1,4.00
u04,14,7,2,1,4.00
u04,15,7,2,1,4.00
u04,16,5,2,1,4.00
u04,17,6,2,1,4.00
u04,18,7,2,1,4.00
u04,19,5,3,1,4.00
u04,20,8,2,1,4.00
u04,21,6,3,1,4.00
u04,22,8,2,1,4.00
u04,23,7,3,1,4.00
u04,24,6,2,1,4.00
u04,25,6,2,1,4.00
u04,26,6,1,1,4.00
u04,27,6,2,1,4.00
u04,28,6,2,1,4.00
u04,29,6,1,1,4.00
u04,30,7,1,1,4.00
u04,31,8,1,1,4.00
u04,32,6,2,1,4.00
u04,33,7,3,1,4.00
u04,34,5,2,1,4.00
u05,1,7,1,1,4.00
u05,2,8,1,1,4.00
u05,3,8,2,1,4.00
u05,4,5,3,1,4.00
u05,5,9,1,4,4.00
u05,6,8,1,1,4.00
u07,1,9,2,1,4.00
u07,2,6,2,1,4.00
u07,3,6,2,1,4.00
u07,4,6,2,1,4.00
u07,5,7,3,1,4.00
u07,6,6,3,1,4.00
u07,7,7,1,1,4.00
u07,8,8,2,1,4.00
u07,9,7,1,1,4.00
u07,10,7,2,1,4.00
u07,11,7,2,1,4.00
u07,12,5,2,1,4.00
u07,13,7,2,1,4.00
u07,14,5,1,1,4.00
u07,15,8,2,1,4.00
u07,16,9,2,1,4.00
u07,17,8,2,1,4.00
u07,18,8,1,1,4.00
u07,19,7,3,1,4.00
u07,20,6,3,1,4.00
u07,21,7,2,1,4.00
u07,22,7,2,2,4.00
u07,23,8,1,1,4.00
u07,24,8,3,1,4.00
u08,1,10,2,1,4.00
u08,2,6,2,1,4.00
u08,3,6,1,1,4.00
u08,4,6,2,1,4.00
u08,5,10,3,1,4.00
u08,6,6,3,1,4.00
u08,7,8,2,1,4.00
u08,8,7,3,1,4.00
u08,9,6,2,1,4.00
u08,10,6,3,1,4.00
u08,11,8,2,1,4.00
u08,12,6,3,2,4.00
u08,13,6,3,1,4.00
u08,14,8,1,1,4.00
u08,15,10,1,1,4.00
u08,16,6,2,1,4.00
u08,17,8,1,1,4.00
u08,18,7,1,1,4.00
u08,19,8,1,1,4.00
u08,20,7,3,1,4.00
u08,21,9,2,1,4.00
u08,22,5,3,2,4.00
u08,23,8,2,2,4.00
u08,24,7,1,1,4.00
u08,25,9,1,1,4.00
u08,26,6,1,1,4.00
u08,27,0,4,1,4.00
u08,28,8,1,1,4.00
u08,29,8,1,1,4.00
u08,30,0,4,1,4.00
u08,31,7,2,1,4.00
u08,32,6,2,1,4.00
u08,33,8,1,1,4.00
u08,34,7,2,1,4.00
u08,35,8,1,1,4.00
u08,36,15,1,1,4.00
u08,37,1,1,1,4.00
u08,38,8,1,1,4.00
u08,39,12,1,1,4.00
u08,40,9,2,2,4.00
u08,41,1,3,3,4.00
u10,1,7,2,1,4.00
u10,2,8,2,1,4.00
u10,3,7,2,1,4.00
u10,4,7,2,1,4.00
u10,5,8,2,1,4.00
u10,6,6,2,1,4.00
u10,7,8,1,1,4.00
u10,8,8,1,1,4.00
u10,9,8,2,1,4.00
u10,10,7,2,1,4.00
u10,11,7,2,1,4.00
u10,12,8,2,1,4.00
u10,13,7,2,1,4.00
u10,14,7,2,1,4.00
u10,15,8,2,3,4.00
u10,16,8,2,1,4.00
u10,17,8,3,1,4.00
u10,18,8,2,1,4.00
u10,19,7,2,1,4.00
u10,20,6,3,3,4.00
u10,21,8,2,1,4.00
u10,22,8,2,1,4.00
u10,23,7,3,1,4.00
u10,24,8,2,1,4.00
u10,25,8,2,3,4.00
u10,26,8,2,1,4.00
u10,27,6,3,1,4.00
u10,28,8,2,1,4.00
u10,29,6,3,1,4.00
u10,30,8,3,1,4.00
u10,31,8,2,4,4.00
u10,32,8,3,1,4.00
u10,33,7,4,1,4.00
u10,34,8,2,1,4.00
u10,35,8,1,1,4.00
u10,36,10,2,1,4.00
u10,37,5,2,1,4.00
u10,38,10,2,1,4.00
u10,39,10,2,1,4.00
u10,40,10,2,1,4.00
u10,41,8,2,1,4.00
u10,42,10,2,1,4.00
u10,43,7,2,1,4.00
u10,44,7,2,1,4.00
u10,45,10,2,1,4.00
u10,46,10,1,1,4.00
u10,47,7,2,1,4.00
u16,1,8,2,1,4.00
u16,2,8,2,2,4.00
u16,3,7,2,1,4.00
u16,4,7,2,1,4.00
u16,5,7,2,1,4.00
u16,6,8,2,2,4.00
u16,7,8,1,1,4.00
u16,8,9,1,1,4.00
u16,9,9,1,2,4.00
u16,10,8,2,1,4.00
u16,11,8,2,1,4.00
u16,12,8,1,1,4.00
u16,13,10,2,1,4.00
u16,14,8,1,1,4.00
u16,15,7,2,1,4.00
u16,16,6,2,1,4.00
u16,17,8,1,3,4.00
u16,18,6,3,1,4.00
u16,19,9,2,1,4.00
u16,20,9,2,1,4.00
u16,21,5,2,1,4.00
u16,22,7,3,1,4.00
u16,23,8,3,1,4.00
u16,24,7,2,1,4.00
u16,25,7,2,1,4.00
u16,26,7,3,1,4.00
u16,27,7,2,2,4.00
u16,28,8,1,2,4.00
u16,29,7,2,2,4.00
u16,30,8,3,1,4.00
u16,31,9,2,2,4.00
u16,32,5,4,2,4.00
u16,33,7,2,1,4.00
u16,34,6,3,1,4.00
u16,35,6,3,1,4.00
u16,36,8,1,1,4.00
u16,37,8,2,1,4.00
u16,38,9,2,1,4.00
u16,39,8,2,1,4.00
u16,40,7,1,1,4.00
u16,41,6,2,1,4.00
u16,42,8,2,2,4.00
u16,43,10,2,2,4.00
u16,44,13,2,1,4.00
u16,45,8,3,1,4.00
u16,46,9,3,1,4.00
u16,47,10,2,1,4.00
u16,48,10,2,2,4.00
u16,49,9,1,1,4.00
u16,50,9,2,1,4.00
u16,51,13,1,1,4.00
u16,52,8,1,1,4.00
u16,53,8,2,1,4.00
u16,54,9,1,1,4.00
u16,55,7,1,1,4.00
u16,56,7,1,2,4.00
u16,57,6,2,1,4.00
u16,58,1,1,1,4.00
u16,59,6,2,1,4.00
u16,60,13,1,1,4.00
u16,61,13,3,1,4.00
u16,62,1,4,1,4.00
u16,63,8,1,1,4.00
u16,64,9,1,1,4.00
u16,65,11,3,1,4.00
u17,1,7,3,2,4.00
u17,2,6,2,2,4.00
u17,3,7,2,3,4.00
u17,4,7,3,1,4.00
u17,5,7,2,2,4.00
u17,6,6,3,1,4.00
u17,7,6,3,3,4.00
u17,8,6,2,1,4.00
u17,9,6,2,2,4.00
u17,10,6,2,1,4.00
u17,11,0,4,2,4.00
u17,12,4,3,2,4.00
u17,13,5,2,2,4.00
u17,14,3,2,3,4.00
u17,15,5,3,3,4.00
u17,16,4,2,3,4.00
u17,17,8,1,3,4.00
u17,18,4,3,2,4.00
u17,19,4,3,3,4.00
u17,20,5,3,3,4.00
u17,21,5,3,2,4.00
u17,22,5,3,1,4.00
u17,23,5,4,2,4.00
u17,24,4,3,1,4.00
u17,25,8,3,2,4.00
u17,26,6,2,2,4.00
u17,27,4,2,2,4.00
u17,28,5,3,2,4.00
u17,29,4,2,3,4.00
u17,30,5,2,3,4.00
u17,31,5,3,2,4.00
u17,32,4,2,2,4.00
u17,33,1,3,3,4.00
u17,34,9,2,3,4.00
u17,35,1,3,4,4.00
u17,36,1,4,4,4.00
u17,37,3,4,3,4.00
u17,38,3,3,3,4.00
u17,39,2,4,4,4.00
u17,40,10,2,4,4.00
u22,1,9,1,1,4.00
u22,2,7,2,1,4.00
u22,3,6,3,1,4.00
u22,4,8,2,1,4.00
u22,5,6,3,1,4.00
u22,6,7,1,1,4.00
u22,7,8,1,1,4.00
u22,8,8,2,1,4.00
u22,9,8,1,1,4.00
u22,10,9,1,1,4.00
u22,11,8,1,1,4.00
u22,12,8,1,1,4.00
u22,13,9,1,1,4.00
u22,14,8,2,1,4.00
u22,15,7,1,1,4.00
u22,16,8,2,1,4.00
u22,17,9,1,1,4.00
u22,18,8,1,1,4.00
u22,19,10,3,1,4.00
u22,20,15,1,1,4.00
u30,1,8,1,1,4.00
u30,2,8,1,1,4.00
u30,3,8,1,1,4.00
u30,4,8,1,1,4.00
u30,5,6,2,1,4.00
